Start,End,Label,Start Sample,End Sample,len,mean,std,rms,mav,iEMG,wl,zcr,spec_entropy,median_freq,skew,kurtosis,file
3.147748,3.16023,Fibrillation,34703.93023255814,34841.54651162791,138,-0.0026655525,0.0013418607,0.0029842523,0.0026655525,0.36784625,0.07127759,0,2.3385127,319.5652173913044,-0.1501951003161743,-0.6455876290734701,.\Spontanaktivität\filtered_BA0803901_segment_1.wav
2.954135,2.964399,PSW,32569.3488372093,32682.5,113,-0.0073485104,0.002552225,0.0077791037,0.0073485104,0.8303817,0.069686264,0,1.9031639,390.2654867256637,0.0072795979568529,-0.9488586906397584,.\Spontanaktivität\filtered_BA0803901_segment_1.wav
3.303696,3.31574,Fibrillation,36423.25872093023,36556.039244186046,133,0.0056109955,0.0036213698,0.0066781426,0.0056759124,0.75489634,0.067398705,5,1.8461916,165.78947368421052,0.1850745850470736,-0.7329155440574828,.\Spontanaktivität\filtered_BA0803901_segment_1.wav
3.453427,3.462542,Fibrillation,38074.04360465116,38174.526162790695,100,-0.01820622,0.0024408356,0.018369107,0.01820622,1.8206221,0.077054344,0,2.036409,220.5,0.5950256845167078,-0.6774312360661612,.\Spontanaktivität\filtered_BA0803901_segment_1.wav
3.460589,3.468726,Fibrillation,38152.99418604651,38242.710755813954,90,-0.012418723,0.001940682,0.012569445,0.012418723,1.1176851,0.054473888,0,2.4728925,734.9999999999999,-0.3794479881889711,-0.1910462400422607,.\Spontanaktivität\filtered_BA0803901_segment_1.wav
3.616504,3.626595,Fibrillation,39871.9636627907,39983.21220930232,112,0.018273309,0.0015129554,0.018335836,0.018273309,2.0466106,0.058735866,0,2.7683766,787.5,-0.050496405885259,-0.3226350544287988,.\Spontanaktivität\filtered_BA0803901_segment_1.wav
3.389231,3.39875,PSW,37366.28270348837,37471.22165697675,105,-0.016951138,0.002157284,0.01708786,0.016951138,1.7798696,0.057600718,0,2.311769,839.9999999999999,-0.14068231316649,-0.4621285292776114,.\Spontanaktivität\filtered_BA0803901_segment_1.wav
3.192407,3.201925,PSW,35196.295058139534,35301.23401162791,105,0.010133251,0.009937789,0.014193042,0.010260955,1.0774003,0.16251923,2,2.8488364,1890.0,6.116287480191783,43.17198391271876,.\Spontanaktivität\filtered_BA0803901_segment_1.wav
3.377674,3.385152,PSW,37238.85683139535,37321.30886627907,83,-0.013743254,0.002059711,0.013896743,0.013743254,1.1406901,0.06611212,0,2.2214024,1859.6385542168675,0.0083486334203393,-0.010786453557563,.\Spontanaktivität\filtered_BA0803901_segment_1.wav
2.794731,2.80373,PSW,30811.91424418605,30911.1300872093,100,-0.006709495,0.0016802264,0.0069166813,0.006709495,0.6709495,0.051629398,0,2.479433,1102.5,0.7273191894371279,1.4116398969568251,.\Spontanaktivität\filtered_BA0803901_segment_1.wav
0.003092,0.012712,Fibrillation,34.09146341463415,140.15379403794037,106,-0.1541724,0.0018812605,0.15418386,0.1541724,16.342276,0.061957106,0,2.5633297,832.0754716981131,0.1459119727941936,-1.0815802444820586,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.012368,0.02405,Fibrillation,136.3658536585366,265.1558265582656,129,-0.15571211,0.011484116,0.15613504,0.15571211,20.086863,0.18002616,0,2.014578,512.7906976744185,1.5437622615012132,2.9901788335211963,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.038137,0.052223,Fibrillation,420.4613821138211,575.7669376693767,155,-0.16861233,0.004141345,0.16866317,0.16861233,26.13491,0.092994094,0,1.667516,142.25806451612902,-1.5840892963157416,1.3786490437701815,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.076274,0.088986,PSW,840.9227642276422,981.0765582655828,141,-0.21086274,0.0053135254,0.21092965,0.21086274,29.731646,0.08919056,0,1.3168855,156.38297872340425,0.4585728356126872,-1.0947458739813465,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.11338,0.119564,PSW,1250.020325203252,1318.2032520325204,68,-0.16785467,0.005862869,0.16795702,0.16785467,11.414118,0.032900915,0,1.0312314,324.2647058823529,0.4823346370717554,-1.1016535579032452,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.13262,0.143958,PSW,1462.1449864498643,1587.1470189701895,125,-0.18099806,0.0018305841,0.18100731,0.18099806,22.624758,0.06911518,0,2.973001,1940.4,0.1566282504393165,-0.2050187779523549,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.238442,0.251155,PSW,2628.830623306233,2768.9844173441734,140,-0.23305357,0.01958974,0.23387544,0.23305357,32.6275,0.2174458,0,1.6374376,315.0,1.951549755534779,3.4712716836688964,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.249437,0.256308,PSW,2750.0447154471544,2825.8035230352302,75,-0.24481717,0.0017427806,0.24482338,0.24481717,18.361288,0.044363648,0,2.4453893,1470.0,-0.1827405808628686,-0.8671816844175657,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
0.25459,0.262149,PSW,2806.863821138212,2890.1985094850947,84,-0.25054622,0.0041220034,0.25058013,0.25054622,21.045883,0.0468854,0,1.4822794,262.5,-0.700189341078656,-0.8655785934509881,.\Spontanaktivität\filtered_BA0803901_segment_2.wav
